sex,age,bmi_neg2sd,bmi_neg1sd,bmi_sd,bmi_2sd
2,5,12.7,13.9,16.9,19
2,6,12.7,13.9,17.1,19.5
2,7,12.8,14,17.5,20.1
2,8,13,14.3,18,21
2,9,13.3,14.6,18.7,22
2,10,13.7,15.1,19.4,23.1
2,11,14.1,15.6,20.3,24.3
2,12,14.7,16.3,21.3,25.6
2,13,15.2,16.9,22.3,26.8
2,14,15.7,17.5,23.1,27.8
2,15,16,18,23.8,28.6
2,16,16.3,18.3,24.3,29.1
2,17,16.4,18.5,24.6,29.4
2,18,16.5,18.6,24.9,29.6
2,19,16.5,18.7,25,29.7
1,5,13,14.1,16.7,18.4
1,6,13.1,14.1,16.9,18.7
1,7,13.2,14.3,17.2,19.3
1,8,13.4,14.5,17.7,20.1
1,9,13.6,14.8,18.2,20.9
1,10,13.9,15.1,18.8,21.9
1,11,14.2,15.5,19.5,23
1,12,14.7,16.1,20.4,24.2
1,13,15.2,16.7,21.3,25.3
1,14,15.7,17.3,22.2,26.5
1,15,16.3,18,23.1,27.4
1,16,16.7,18.5,23.9,28.3
1,17,17.1,19,24.6,29
1,18,17.4,19.4,25.2,29.5
1,19,17.6,19.6,25.4,29.7
